,,,,,,,
,matiere,langue enseignement,liste études (codes),liste des n°s sciper enseignants,liste des enseignants,liste orientations/sections sans doublons,liste URL fiche sans doublons
,Electronics II,fr,EL-BA4#MT-BA4#IN-BA5#SC-BA5,104979#105540#106795,Doré Chantal#Kayal Maher#Zysman Eytan,EL#MT#IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773472&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773472&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773472&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773472&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en
,Electronics III,fr,IN-BA6#SC-BA6,106795,Zysman Eytan,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773477&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773477&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en
,"Electronics, Lab.",fr,MT-BA6,104903,Décurnex André,MT,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4146552&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683117&ww_c_langue=en
,"Electronics, Laboratory Work I",fr,EL-BA5,104903,Décurnex André,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776967&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683117&ww_c_langue=en
,"Electronics, Laboratory Work II",fr,EL-BA5,104903,Décurnex André,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776977&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683117&ww_c_langue=en
,Electronic spectroscopy,en,CGC-MA1# CGC-MA3,122830,Chergui Majed,CGC_CHIM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71877719&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683147&ww_c_langue=en
,Electron microscopy : advanced methods and laboratory work,en,MX-MA2,106465#178548,Stadelmann Pierre#Hébert Cécile,MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=128342116&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en
,Electrotechnics I,fr,MT-BA1#EL-BA1,104979#105228#106071#159310,Doré Chantal#Germano Paolo#Perriard Yves#Martin Olivier,MT#EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773512&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773512&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683111&ww_c_langue=en
,Electrotechnics II,fr,MT-BA2#EL-BA2,105228#106071#106170,Germano Paolo#Perriard Yves#Rachidi-Haeri Farhad,MT#EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773517&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773517&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683111&ww_c_langue=en
,Electrotechniques,fr,GM-BA3,106775,Zoia Roberto,GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773507&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683117&ww_c_langue=en
,Elementary particle physics I,fr,PH-MA3# PH-MA1#PH-MA1# PH-MA3,122784,Bay Aurelio,ING_PHYS#PHYS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1775212&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en
,Elementary particle physics II,fr,PH-MA2,122784,Bay Aurelio,ING_PHYS#PHYS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1775217&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en
,Elements of micromechanical design and CAD I,fr,MT-BA1,105727,Maeder Willy,MT,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773557&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683111&ww_c_langue=en
,Elements of micromechanical design and CAD II,fr,MT-BA2,105727,Maeder Willy,MT,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773562&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683111&ww_c_langue=en
,Elements of urban and territorial analysis I,fr,AR-BA1,105248,Gilot Christian,AR,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348195695&ww_x_anneeacad=123455150&ww_i_section=942293&ww_i_niveau=6683111&ww_c_langue=en
,Elements of urban and territorial analysis II,fr,AR-BA2,105248,Gilot Christian,AR,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348196102&ww_x_anneeacad=123455150&ww_i_section=942293&ww_i_niveau=6683111&ww_c_langue=en
,Elliptic partial differential equations,en,MA-MA2,199126,Krieger Joachim,ING_MATH#MATH,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=837364272&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en
,Embedded systems,en,EL-MA1# EL-MA3#GM-MA1# GM-MA3#IN-MA3# IN-MA1#SC-MA1# SC-MA3,100366,Beuchat René,EL#GM#IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771058&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771058&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771058&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771058&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en
,"Emotions, self and social cognition I",en,SHS-MA1,218732,Mohr Christine,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=901934560&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683147&ww_c_langue=en
,"Emotions, self and social cognition II",en,SHS-MA2,218732,Mohr Christine,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=901934657&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683147&ww_c_langue=en
,ENAC project,fr,GC-MA2#GC-MA1# GC-MA3#HPLANS-H,126096,Profs divers *,GC#HPLANS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1775782&ww_x_anneeacad=123455150&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1775782&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936286&ww_c_langue=en
,ENAC project A (Autumn),fr,AR-MA1# AR-MA3,126096,Profs divers *,AR,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=72259617&ww_x_anneeacad=123455150&ww_i_section=942293&ww_i_niveau=6683147&ww_c_langue=en
,ENAC project B (Spring),fr,AR-MA2,126096,Profs divers *,AR,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=72270938&ww_x_anneeacad=123455150&ww_i_section=942293&ww_i_niveau=6683147&ww_c_langue=en
,Energy and society I,fr,SHS-MA1,209405#210223,Romerio Franco#Akhabbar Amanar,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=249736111&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683147&ww_c_langue=en
,Energy and society II,fr,SHS-MA2,209405#210223,Romerio Franco#Akhabbar Amanar,SHS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=249736155&ww_x_anneeacad=123455150&ww_i_section=1751774&ww_i_niveau=6683147&ww_c_langue=en
,Energy and the City meet to the challenges of sustainable development,fr,ENAC-BA4,103324#105271#106670,Rey Emmanuel#Gnansounou Edgard#Vollichard Philippe,ENAC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=106576105&ww_x_anneeacad=123455150&ww_i_section=69034007&ww_i_niveau=6683117&ww_c_langue=en
,Energy conversion,en,EME-MA2#MINEUR-E#MX-MA2#SIE-MA2,140973,Maréchal François,EME_MES#MIN_ENER#MX#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=126854434&ww_x_anneeacad=123455150&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=126854434&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=126854434&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=126854434&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en
,Energy powerplants,fr,EL-MA1# EL-MA3,104417#140973,Avellan François#Maréchal François,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4145140&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en
,Energy within buildings,fr,GC-MA1# GC-MA3#MINEUR-H#MX-MA1# MX-MA3,105271#105906,Gnansounou Edgard#Morel Nicolas,GC#MIN_ENER#MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773592&ww_x_anneeacad=123455150&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773592&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773592&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship credited with Master project (master in Communication Systems),fr,SC-MA2# SC-MA4#SC-MA1# SC-MA3,126096,Profs divers *,SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652076110&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship credited with Project master (master in Electrical and Electronical engineering),fr,EL-MA2#EL-MA1#EL-MA1# EL-MA3#EL-PME,126096,Profs divers *,MNIS#EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652058942&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652058942&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=24927041&ww_c_langue=en
,Engineering internship credited with Project master (master in Environmental sciences and engineering),fr,SIE-MA2#SIE-MA1# SIE-MA3,126096,Profs divers *,SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652076651&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship credited with Project master (master in Management of Technology and Entrepreneurship),fr,MTE-MA2#MTE-MA1# MTE-MA3,126096,Profs divers *,MTE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652078813&ww_x_anneeacad=123455150&ww_i_section=946882&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship credited with Project master (master in Materials science and engineering),fr,MX-MA2#MX-MA1# MX-MA3,126096,Profs divers *,MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652078287&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship credited with Project master (master in Mathematical Sciences),fr,MA-MA2#MA-MA3# MA-MA1,126096,Profs divers *,ING_MATH,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652077020&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship credited with Project master(master in Mechanical engineering),fr_en,GM-MA2#GM-MA1# GM-MA3,126096,Profs divers *,GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652077693&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship credited with Project master (master in Microengineering),fr,MT-MA2#MT-MA1# MT-MA3,126096,Profs divers *,MT,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652078044&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship (Master in Biochemical and Chemical engineering),fr,CGC-MA2#CGC-MA1# CGC-MA3,126096,Profs divers *,CGC_ING,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=234597759&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship (master in Bioengineering),fr,SV-MA1# SV-MA3#SV-MA2,126096,Profs divers *,SV_B,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=467191817&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship (master in Civil engineering),fr,GC-MA2#GC-MA1# GC-MA3,126096,Profs divers *,GC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652058540&ww_x_anneeacad=123455150&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship (master in computational sciences and engineering,fr,MA-MA2#MA-MA1# MA-MA3,126096,Profs divers *,MA_CO,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=355561756&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship (master in Electrical and Electronical engineering),fr,EL-MA2#EL-MA1# EL-MA3,126096,Profs divers *,EL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652078498&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship (master in Life Sciences and Technology),fr,SV-MA1# SV-MA3#SV-MA2,126096,Profs divers *,SV_STV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4651611&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship (master in Mathematical Sciences),fr,MA-MA2#MA-MA3# MA-MA1,126096,Profs divers *,ING_MATH,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=426521225&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship (master in Nuclear engineering),fr,PH-MA3,126096,Profs divers *,PH_NE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652059419&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en
,Engineering internship (master in Physics Engineering),fr,PH-MA2#PH-MA4#PH-MA3# PH-MA1,126096,Profs divers *,ING_PHYS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=354383690&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en
,Engines and fuel cells,en,EME-MA1#GM-MA1# GM-MA3,107971#111369,Van Herle Jan#Gafner Irwin,EME_MES#GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=228383796&ww_x_anneeacad=123455150&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=228383796&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en
,Enterprise and service-oriented architecture,en,IN-MA2#SC-MA2# SC-MA4,112464,Wegmann Alain,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2258965&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2258965&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en
,Entrepreneurship Laboratory (e-lab),en,MTE-MA1# MTE-MA3,163910,Lebret Hervé,MTE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=840843791&ww_x_anneeacad=123455150&ww_i_section=946882&ww_i_niveau=6683147&ww_c_langue=en
,Entrepreneurship & new venture strategy,en,MINEUR-H#MTE-MA1# MTE-MA3,171551,Gruber Marc,MIN_MTE#MTE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=352628726&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=352628726&ww_x_anneeacad=123455150&ww_i_section=946882&ww_i_niveau=6683147&ww_c_langue=en
,Environmental and construction law and Right of construction,fr,SIE-BA5,112696,Romy Isabelle,SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=23985449&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683117&ww_c_langue=en
,Environmental bioprocess design,fr,MINEUR-H#SIE-MA1# SIE-MA3,104934,Deront Marc,MIN_BIOTECH#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71825947&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71825947&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en
,Environmental bioprocesses: practical lab,fr,MINEUR-E#SIE-MA2,104934,Deront Marc,MIN_BIOTECH#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71826349&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71826349&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en
,Environmental chemistry,en,SIE-BA4,173999#210253,Kohn Tamar#von Gunten Urs,SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838976164&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683117&ww_c_langue=en
,Environmental engineering laboratory,fr_en,SIE-BA4,104872#105325#106407#168453,De Alencastro Luiz Felippe#Guenat Claire#Seignez Chantal#Huwald Hendrik,SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71556446&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683117&ww_c_langue=en
,Environmental geovisualization,fr,SIE-MA1# SIE-MA3,149002,Joost Stéphane,SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231685619&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en
,Environmental phytotechnology,fr,SIE-MA2,106401,Schwitzguebel Jean-Paul,SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=44989122&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en
,Environmental transport phenomena,en,EME-MA1#MA-MA1# MA-MA3#SIE-MA1# SIE-MA3,168244#174097,Porté-Agel Fernando#Perona Paolo,EME_MES#MA_CO#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47572529&ww_x_anneeacad=123455150&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47572529&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47572529&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en
,Environment and civil engineering ,fr,GC-MA1# GC-MA3,104646#105012#105271#112841,Brühwiler Eugen#Dumont André-Gilles#Gnansounou Edgard#Schleiss Anton,GC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1773597&ww_x_anneeacad=123455150&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en
,Equilibrium-stage separation processes,en,CGC-MA1# CGC-MA3,103246,Randall Harvey,CGC_ING,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=130130740&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683147&ww_c_langue=en
,Essentials of Ecology,fr,SIE-BA4,133834,Buttler Alexandre,SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=79015551&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683117&ww_c_langue=en
,Euler Course 1st year,fr,HPLANS-E#HPLANS-H,114710,Michel Nicolas,HPLANS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=914659944&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=914659944&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936286&ww_c_langue=en
,Euler Course 2nd year,fr,HPLANS-E#HPLANS-H,145960,Bujard Cédric,HPLANS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=454089076&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=454089076&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936286&ww_c_langue=en
,Euler Course 3rd year,fr,HPLANS-E#HPLANS-H,100681,Caboussat Alexandre,HPLANS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=914659959&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=914659959&ww_x_anneeacad=123455150&ww_i_section=3887376&ww_i_niveau=2936286&ww_c_langue=en
,Existing structures II : Interventions,fr,GC-MA2,104646,Brühwiler Eugen,GC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47520714&ww_x_anneeacad=123455150&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en
,Existing structures I : Security and durability,fr,GC-MA1# GC-MA3,104646,Brühwiler Eugen,GC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47520698&ww_x_anneeacad=123455150&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en
,Experimental analytical chemistry,fr,CGC-BA5#AUDIT-E,105258#150841,Girault Hubert#Roussel Christophe,CGC#UNIL_SFU,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230665709&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=230665709&ww_x_anneeacad=123455150&ww_i_section=116995070&ww_i_niveau=2936295&ww_c_langue=en
,Experimental biologic & Biophysic chemistry,fr,CGC-BA6,105423,Hovius Ruud,CGC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772442&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683117&ww_c_langue=en
,Experimental data analysis and modelization,fr,MX-MA2,106465,Stadelmann Pierre,MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1772205&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en
,Experimental methods in physics I,en,MX-MA1# MX-MA3#PH-MA3# PH-MA1#PH-MA1# PH-MA3,105040#105197#120862,Dwir Benjamin#Ganière Jean-Daniel#Cantoni Marco,MX#ING_PHYS#PHYS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=128690863&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=128690863&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en
,Experimental methods in physics II,en,MX-MA2#PH-MA2,105040#105197#120862,Dwir Benjamin#Ganière Jean-Daniel#Cantoni Marco,MX#ING_PHYS#PHYS,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=128690912&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=128690912&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en
,Experimental molecular sciences,en,CGC-MA1# CGC-MA3,121774,Drabbels Marcel,CGC_CHIM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71882391&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683147&ww_c_langue=en
,Experimental physical chemistry,fr,CGC-BA6,121774,Drabbels Marcel,CGC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=24352929&ww_x_anneeacad=123455150&ww_i_section=246696&ww_i_niveau=6683117&ww_c_langue=en
